timestamp,event_type,stage_id,session_id,user_id,payload,data_quality_flags
1769862204.9935966,session_start,0,f2c62947-cc81-48a3-851f-f2ed5ca830fe,anon_user,{'difficulty': 'balanced'},[]
1769862204.9937744,stage_start,1,f3d75d01-7f9a-496f-bf09-0365976ec0b3,anon_user,{},[]
1769862204.9938593,character_attack,1,6d804d04-322d-411a-a75d-50e4da6c6154,anon_user,"{'attacker_id': 'player_1', 'target_id': 'enemy_1', 'damage': 3}",[]
1769862204.9939318,stage_complete,1,950076ee-8766-4f3c-b6a1-7a091abeb735,anon_user,{'turns_taken': 5},[]
1769869162.9749744,session_start,0,b09de55d-bb30-43dd-bf4b-5bca1b76578a,anon_user,{'difficulty': 'balanced'},[]
1769869162.9751265,stage_start,1,a0ccc338-2e82-4b30-a2ca-6adf701fd970,anon_user,{},[]
1769869162.9752107,character_attack,1,86e3b5e6-9314-47ad-9729-c1e257f30f21,anon_user,"{'attacker_id': 'player_1', 'target_id': 'enemy_1', 'damage': 3}",[]
1769869162.975276,stage_complete,1,648b0f51-fbd2-4897-b636-d049ca58da88,anon_user,{'turns_taken': 5},[]
1771153325.463806,session_start,0,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""config_id"": ""balanced"", ""difficulty_label"": ""balanced""}",[]
1771153325.4672284,stage_start,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""enemy_count"": 1, ""grid_size"": ""4x5""}",[]
1771153325.4673789,character_attack,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""attacker_id"": ""player_1"", ""target_id"": ""enemy_1"", ""damage"": 3, ""attack_range"": 1}",[]
1771153325.4674695,stage_complete,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""turns_taken"": 5}",[]
1771153325.4675446,turn_start,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""turn_number"": 1, ""active_side"": ""player""}",[]
1771153325.4676156,turn_end,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""turn_number"": 1, ""active_side"": ""player""}",[]
1771153325.4676847,character_move,1,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""character_id"": ""player_1"", ""to_row"": 2, ""to_col"": 3, ""turn_number"": 1}",[]
1771153325.467755,session_end,0,e55a8e54-f915-4d42-8428-be2b78b3e658,anon_user,"{""stages_completed"": 1}",[]
